white_rating,black_rating,winner,termination_reason,opening_name,opening_eco,opening_play_turns,turns
1501,1445,white,resign,queen's pawn game: london system,d02,5,38
1500,1500,white,resign,italian game: giuoco pianissimo | normal,c50,8,14
1745,1714,draw,draw,queen's gambit refused: marshall defense,d06,4,113
1734,1748,white,resign,queen's gambit refused: marshall defense,d06,4,62
1942,1739,white,resign,french defense: marshall variation,c10,6,101
1724,1855,white,outoftime,scotch game,c45,7,75
1951,1729,white,mate,french defense: advance variation | main line,c02,11,135
1726,1388,white,outoftime,philidor defense,c41,5,81
1735,1806,black,resign,gruenfeld defense,d80,6,46
1597,1728,black,mate,french defense: knight variation,c00,3,70
1743,1738,white,resign,french defense: rubinstein variation | fort knox variation,c10,10,39
1721,1750,white,resign,queen's gambit declined: traditional variation,d30,7,91
1746,1487,white,outoftime,queen's gambit accepted: old variation,d20,5,137
1744,1735,black,resign,french defense: advance variation | paulsen attack,c02,9,46
1749,1631,black,resign,queen's gambit declined: semi-tarrasch | 5.cxd5,d41,9,18
1769,1396,black,resign,queen's gambit accepted: old variation,d20,5,28
1795,1760,black,resign,yusupov-rubinstein system,a46,5,40
1729,1795,white,mate,queen's gambit declined: queen's knight variation,d31,5,111
1795,1784,black,mate,ruy lopez: classical variation,c64,6,54
1770,1872,white,resign,queen's pawn game: zukertort variation,d02,3,33
1783,1721,black,resign,queen's pawn game: london system,d02,5,90
1884,1768,black,resign,ruy lopez: classical variation | central variation,c64,7,90
1756,1756,black,mate,bishop's opening: ponziani gambit,c24,5,40
1724,1958,white,outoftime,benoni defense: benoni-indian defense | kingside move order,a43,5,49
2036,1706,black,resign,king's indian attack: french variation,a08,6,50
1706,925,white,mate,queen's pawn game: london system,d02,5,59
1244,1219,black,outoftime,nimzowitsch defense: mikenas variation,b00,4,26
1215,921,white,mate,italian game,c50,5,23
1350,1201,black,mate,alekhine defense #2,b03,5,118
1210,1280,black,mate,sicilian defense: nimzowitsch variation,b29,4,66
1139,1212,draw,draw,four knights game: italian variation,c50,8,120
1220,1341,black,mate,italian game: two knights defense | fried liver attack,c57,11,36
1234,1359,black,mate,italian game: anti-fried liver defense,c55,6,26
1275,1236,black,resign,italian game: two knights defense | fried liver attack,c57,11,62
1433,1282,white,resign,alekhine defense: maroczy variation,b02,3,37
1132,1276,black,resign,queen's gambit refused: marshall defense,d06,4,24
1276,1308,white,resign,italian game: anti-fried liver defense,c55,6,47
1228,1266,black,resign,alekhine defense: two pawn attack | lasker variation,b02,7,37
1273,1409,black,resign,caro-kann defense: exchange variation,b13,5,24
1338,1277,white,resign,queen's pawn game #2,d00,3,9
1263,1336,white,mate,sicilian defense: modern variations | main line,b57,8,47
1316,1273,white,mate,english opening: king's english variation,a20,2,85
1248,1253,white,mate,goldsmith defense,b00,2,39
1335,1233,black,mate,nimzo-indian defense,e20,6,58
1223,1189,white,mate,italian game: two knights defense | fried liver attack,c57,11,95
1443,1204,black,resign,alekhine defense,b02,2,2
1227,1216,white,mate,queen's gambit refused: marshall defense,d06,4,97
1215,1219,draw,draw,italian game,c50,5,12
1227,1227,white,resign,four knights game: italian variation,c50,8,30
1550,1225,white,mate,bogo-indian defense: exchange variation,e11,8,43
1325,1234,white,resign,alekhine defense,b02,2,11
1212,1221,black,mate,alekhine defense: saemisch attack,b02,5,72
1226,1478,black,mate,king's knight opening,c40,3,156
1228,1626,black,resign,queen's gambit declined,d30,4,18
1191,1228,white,mate,french defense: classical variation | steinitz variation,c11,7,77
1422,1210,black,resign,alekhine defense: two pawn attack,b02,5,32
1186,1223,white,resign,vienna game: vienna gambit,c28,5,35
1212,1212,white,mate,modern defense,b06,2,85
1228,1343,black,resign,scandinavian defense: panov transfer,b01,6,50
1865,1862,white,resign,yusupov-rubinstein system,a46,5,111
1852,1852,white,outoftime,sicilian defense: nyezhmetdinov-rossolimo attack,b30,5,65
1833,1863,white,resign,benoni defense,a56,4,73
1851,1918,white,resign,sicilian defense: hyperaccelerated dragon,b27,4,125
1861,1844,black,resign,italian game: anti-fried liver defense,c55,6,76
1853,1774,white,outoftime,ruy lopez: berlin defense #2,c65,6,65
1910,1862,white,mate,sicilian defense: najdorf | lipnitsky attack,b90,11,41
1851,1890,white,resign,french defense: knight variation,c00,3,59
1860,1840,black,resign,sicilian defense: delayed alapin,b50,5,70
1828,1848,white,resign,sicilian defense: canal-sokolsky attack,b51,5,34
1855,1858,white,outoftime,amar opening,e00,1,69
1847,1895,white,resign,ruy lopez: morphy defense | classical defense deferred,c70,8,63
1885,1856,white,resign,sicilian defense,b50,4,107
1847,1802,white,resign,queen's pawn,a40,1,58
1847,1856,black,resign,caro-kann defense: two knights attack | mindeno variation,b11,6,34
1840,1837,black,outoftime,sicilian defense: alapin variation,b22,3,100
1848,1806,black,resign,sicilian defense: french variation,b40,4,80
1860,1820,black,resign,french defense: knight variation,c00,3,44
1854,1849,black,outoftime,paleface attack,a45,3,40
1895,1859,white,outoftime,sicilian defense,b50,4,105
1866,1965,black,resign,sicilian defense: nyezhmetdinov-rossolimo attack | fianchetto variation,b31,6,50
1866,1843,draw,outoftime,sicilian defense,b50,4,144
1835,1866,black,resign,caro-kann defense: classical variation | flohr variation,b18,11,81
1877,1860,black,resign,ruy lopez: bird variation,c61,6,69
1849,1874,white,mate,sicilian defense: najdorf variation | adams attack,b90,11,77
1835,1865,black,mate,blumenfeld countergambit #2,e10,6,158
1866,1835,draw,draw,italian game: two knights defense | modern bishop's opening,c55,7,107
1856,1829,white,mate,ruy lopez: morphy defense #2,c78,12,117
1845,1846,white,resign,ruy lopez: morphy defense | classical defense deferred,c70,8,44
1834,1835,black,resign,sicilian defense: old sicilian,b30,4,40
1846,1845,white,resign,caro-kann defense,b10,2,59
1845,1917,black,resign,queen's gambit refused: marshall defense,d06,4,110
1858,1790,black,resign,scandinavian defense: mieses-kotroc variation,b01,4,30
1871,1847,black,resign,sicilian defense: old sicilian,b30,4,54
1846,1869,black,resign,philidor defense,c41,5,69
1843,1836,black,mate,sicilian defense: alapin variation,b22,3,178
1800,1826,black,resign,sicilian defense,b20,2,136
1283,1267,black,mate,sicilian defense: nyezhmetdinov-rossolimo attack,b30,5,124
1290,1270,black,resign,hungarian opening,a00,1,96
1331,1281,white,outoftime,queen's pawn game #3,d00,4,53
1304,1292,white,mate,van't kruijs opening,a00,1,39
1305,1293,black,mate,french defense: normal variation,c00,3,10
1308,1317,white,mate,center game: berger variation,c22,8,51
1296,1305,black,resign,italian game: giuoco piano | greco's attack,c54,13,18
968,1305,black,mate,four knights game: italian variation,c50,8,106
1293,1466,black,mate,philidor defense #3,c41,5,38
1500,1299,white,mate,ruy lopez: exchange variation,c68,7,59
1288,1232,white,mate,caro-kann defense,b12,3,111
1289,2108,black,resign,ruy lopez: morphy defense | tarrasch variation,c77,9,28
1431,1289,white,outoftime,center game: normal variation,c22,6,101
1806,1289,white,mate,scotch game,c45,7,15
1289,1311,white,resign,philidor defense #3,c41,5,42
1431,1289,black,resign,englund gambit declined | reversed french,a40,3,118
1289,1484,black,resign,giuoco piano,c50,6,34
1289,1810,black,resign,sicilian defense: hyperaccelerated fianchetto,a42,5,60
1806,1289,black,resign,scotch game,c44,5,66
1289,1500,white,outoftime,philidor defense #3,c41,5,21
1409,1297,white,mate,ruy lopez: morphy defense | caro variation,c70,8,73
1280,1485,white,mate,italian game: anti-fried liver defense,c55,6,159
1280,1211,white,resign,scandinavian defense: mieses-kotroc variation,b01,4,74
1211,1280,black,mate,crab opening,a00,3,28
1281,1765,black,mate,philidor defense #4,c41,6,112
1288,1454,black,resign,petrov's defense,c42,4,104
1560,1270,black,mate,queen's gambit refused: chigorin defense #2,d07,5,40
1274,1534,black,mate,sicilian defense: jalalabad variation,b27,4,44
1259,1663,draw,draw,italian game: anti-fried liver defense,c55,6,150
1614,1238,black,mate,queen's pawn game: london system,d02,5,60
1221,1417,white,mate,french defense: advance variation | milner-barry gambit,c02,11,37
1222,1732,black,outoftime,sicilian defense: open #3,b32,7,88
1232,1234,white,mate,ruy lopez: exchange variation,c68,7,113
1240,1219,white,mate,russian game: damiano variation | kholmov gambit,c42,8,55
1590,1600,white,mate,english opening: carls-bremen system,a22,5,135
1568,1617,draw,draw,italian game,c50,5,137
1500,1358,white,outoftime,four knights game,c46,6,97
1384,1325,black,resign,pirc defense #4,b07,2,33
1384,1265,black,resign,zukertort opening: old indian attack,a06,3,29
1384,1950,black,resign,zukertort opening: sicilian invitation,a04,2,55
1377,1249,white,resign,scandinavian defense: mieses-kotroc variation,b01,4,91
1375,1389,white,resign,king's pawn game: wayward queen attack | kiddie countergambit,c20,4,53
1378,1361,white,mate,philidor defense,c41,5,49
1261,1371,black,mate,king's pawn game: maroczy defense,b07,4,48
1380,1429,black,resign,sicilian defense: old sicilian,b30,4,20
1369,1368,white,mate,russian game: damiano variation,c42,6,87
1290,1371,white,resign,ruy lopez: morphy defense | mackenzie variation,c77,9,11
1372,1326,draw,draw,st. george defense,b00,2,110
1361,1383,white,resign,van't kruijs opening,a00,1,24
1217,1399,white,resign,english opening: king's english variation | two knights variation,a22,4,23
1387,1447,white,mate,ruy lopez,c60,5,81
1474,1387,black,resign,scandinavian defense,b01,2,34
1377,1351,white,mate,philidor defense #2,c41,4,103
1389,1339,black,resign,king's pawn game: mcconnell defense,c40,4,29
1389,1400,black,resign,philidor defense #2,c41,4,22
1849,1389,white,resign,scotch game,c44,5,38
1395,1378,black,mate,italian game: giuoco pianissimo | italian four knights variation,c50,9,46
1370,1257,white,outoftime,ruy lopez: bird variation,c61,6,23
1360,1332,white,resign,nimzowitsch defense: lean variation | colorado counter accepted,b00,5,31
1311,1360,white,resign,king's pawn game: beyer gambit,c21,4,51
1714,1360,white,mate,ruy lopez: classical variation,c64,6,87
1354,1217,white,mate,italian game,c50,5,31
1245,1346,black,resign,queen's gambit accepted: old variation,d20,5,38
1346,1099,white,resign,italian game: anti-fried liver defense,c55,6,43
1336,1287,white,resign,king's indian attack: keres variation #2,a07,4,105
1580,1555,white,outoftime,english opening: anglo-scandinavian defense,a10,2,87
1555,1580,black,mate,sicilian defense: marshall counterattack,b40,6,36
1649,1547,black,resign,french defense: advance variation #4,c02,6,38
1426,1527,black,resign,french defense: knight variation,c00,3,110
1557,1547,black,resign,ruy lopez: morphy defense | caro variation,c70,8,48
1557,1607,white,mate,nimzo-indian defense #2,e20,5,95
1607,1557,black,mate,bird opening,a02,1,70
1557,1632,white,resign,sicilian defense: open #3,b32,7,42
1535,1609,white,outoftime,italian game: two knights defense | polerio defense | bishop check line,c58,11,177
1713,1558,black,mate,hungarian opening: indian defense,a00,2,114
1497,1730,white,resign,owen defense,b00,2,57
1437,1552,white,resign,italian game,c50,5,57
1516,1552,draw,draw,bird opening,a03,2,82
1513,1456,white,mate,sicilian defense,b54,5,29
1355,1478,black,resign,italian game: two knights defense | modern bishop's opening,c55,7,70
1638,1614,white,mate,italian game: anti-fried liver defense,c55,6,97
1613,1934,white,resign,caro-kann defense: maroczy variation | maroczy gambit,b12,11,99
1865,1613,black,resign,queen's pawn game: torre attack,d03,5,74
1776,1587,black,mate,queen's pawn game,d00,2,48
1568,1593,white,mate,french defense: marshall variation,c10,6,77
1605,1546,black,resign,scandinavian defense: icelandic-palme gambit,b01,6,80
1518,1709,white,resign,nimzowitsch defense: lean variation | colorado counter accepted,b00,5,35
1728,1527,white,resign,semi-slav defense: noteboom variation,d31,8,33
1515,1379,white,mate,scandinavian defense: mieses-kotroc variation,b01,4,87
1538,1501,black,resign,robatsch (modern) defense,b06,4,40
1511,1516,black,resign,queen's gambit declined,d30,4,54
1464,1495,black,resign,ruy lopez: exchange variation | normal variation,c69,9,67
1470,1475,white,mate,king's pawn game: damiano defense,c40,4,21
1490,1440,black,mate,italian game: schilling-kostic gambit,c50,6,14
1611,1974,white,resign,queen's gambit declined: semi-tarrasch | san sebastian variation,d41,18,71
1611,1945,black,outoftime,nimzo-indian defense: ragozin variation,e20,8,72
1584,1611,black,resign,english opening: symmetrical variation | anti-benoni variation,a31,5,62
1942,1611,black,resign,van't kruijs opening,a00,1,48
1217,1611,black,outoftime,four knights game,c46,6,6
1611,2059,draw,draw,semi-slav defense: chigorin defense,d46,12,69
1611,1478,white,resign,sicilian defense: quinteros variation,b27,4,72
1486,1552,black,mate,king's pawn game: dresden opening,c44,5,40
1453,1496,white,mate,modern defense,b06,2,29
1340,1326,white,resign,english defense #2,a40,2,44
1532,1500,white,mate,french defense: steinitz attack,c00,3,59
1560,1557,white,resign,king's gambit accepted | fischer defense,c34,6,115
1571,1577,black,resign,bird opening: dutch variation,a03,2,70
1580,1617,black,resign,bird opening,a03,2,36
1531,1593,white,resign,four knights game: gunsberg variation,c46,7,83
1449,1597,draw,draw,four knights game: ranken variation,c48,9,99
1743,1604,white,resign,king's gambit accepted | schallopp defense,c34,6,43
1604,1614,white,resign,four knights game: spanish variation | classical variation,c48,8,89
1550,1605,black,resign,queen's pawn game: mason attack,d00,3,96
1630,1605,black,mate,petrov's defense #5,c42,8,116
1475,1605,black,mate,hungarian opening,a00,1,78
1605,1475,white,mate,bird opening,a02,1,77
1475,1605,black,mate,king's pawn opening: 2.b3,c20,3,70
1570,1605,white,resign,russian game: cochrane gambit,c42,7,27
1605,1500,black,resign,bird opening,a02,1,102
1500,1605,white,resign,four knights game: italian variation | noa gambit,c47,9,21
1605,1500,white,resign,bird opening,a02,1,33
1513,1605,black,resign,russian game: urusov gambit,c42,5,74
1790,1874,white,resign,polish opening,a00,1,65
1864,1805,white,resign,sicilian defense: closed variation | fianchetto variation,b24,5,81
1496,1861,black,resign,indian game: tartakower attack,a45,3,45
1851,1853,white,resign,ruy lopez: berlin defense | rio gambit accepted,c67,8,52
1861,1863,white,resign,caro-kann defense,b11,4,51
1618,1609,draw,draw,french defense: knight variation,c00,3,48
1620,1607,black,resign,van't kruijs opening,a00,1,20
1621,1496,black,mate,sicilian defense: nyezhmetdinov-rossolimo attack,b30,5,50
1633,1581,black,resign,philidor defense #3,c41,5,98
1623,1623,black,mate,ruy lopez: cozio defense,c60,6,106
1612,1614,white,resign,italian game,c50,5,19
1605,1624,white,resign,italian game: giuoco pianissimo | normal,c50,8,22
1693,1621,draw,draw,indian game: west indian defense,e61,4,114
1631,1684,black,resign,sicilian defense,b50,4,69
1636,1619,black,mate,italian game: classical variation | closed variation,c53,8,34
1613,1617,black,mate,italian game: two knights defense | traxler counterattack,c57,8,40
1627,1495,black,resign,italian game: hungarian defense,c50,6,108
1480,1643,white,resign,bishop's opening,c23,3,27
1631,1652,white,resign,sicilian defense: nyezhmetdinov-rossolimo attack,b30,5,63
1687,1641,white,resign,ponziani opening,c44,5,31
1630,1638,white,resign,italian game: anti-fried liver defense,c55,6,71
1414,1624,black,mate,ruy lopez: cozio defense,c60,6,92
1619,1419,white,mate,italian game: two knights defense | knight attack,c57,7,47
1629,1659,black,resign,petrov's defense #2,c42,5,56
1649,1639,white,resign,bishop's opening,c23,3,48
1677,1627,black,resign,polish opening,a00,1,124
1705,1636,white,mate,scotch game: classical variation,c45,8,49
1647,1635,black,resign,sicilian defense: najdorf variation,b96,13,64
1637,1627,white,resign,italian game: classical variation #2,c53,7,29
1626,1631,white,resign,italian game,c50,5,45
1602,1615,black,resign,king's gambit accepted | fischer defense,c34,6,96
1634,1603,black,resign,bishop's opening,c23,3,92
1611,1591,black,mate,italian game: giuoco pianissimo | italian four knights variation,c50,9,40
1579,1623,white,mate,italian game: giuoco piano | aitken variation,c54,19,123
1995,1581,white,mate,king's indian attack: symmetrical defense,a05,4,129
1589,1569,black,mate,gruenfeld defense: three knights variation | hungarian attack,d92,9,120
1570,1555,draw,draw,italian game: anti-fried liver defense,c55,6,71
1559,1557,white,mate,french defense: knight variation,c00,3,97
1546,1571,white,resign,indian game,a45,2,60
1550,1567,white,resign,sicilian defense: smith-morra gambit declined | push variation,b21,6,57
1560,1419,white,resign,caro-kann defense: advance variation,b12,5,38
1840,1564,white,resign,scotch game: haxo gambit,c45,8,111
1660,1549,black,resign,east indian defense,a49,4,119
1534,1678,white,mate,philidor defense,c41,5,33
1789,1538,white,resign,blumenfeld countergambit #2,e10,6,32
1841,1921,black,resign,center game: berger variation,c22,8,96
1926,1737,draw,draw,zukertort opening: queenside fianchetto variation,a04,2,92
1629,1887,black,resign,queen's pawn game #2,d00,3,64
1860,1712,black,resign,king's gambit accepted | king's knight gambit,c37,7,10
1500,1568,white,resign,reti opening: reti accepted,a09,4,85
1780,2132,black,resign,sicilian defense: najdorf variation,b90,10,40
966,1124,black,resign,scandinavian defense,b01,2,58
884,951,black,outoftime,nimzo-larsen attack: modern variation,a01,2,26
945,1070,black,outoftime,king's knight opening,c40,3,4
971,1149,black,mate,king's pawn game: nimzowitsch defense,b00,3,118
1238,985,white,mate,van't kruijs opening,a00,1,11
972,1247,draw,outoftime,english opening: king's english variation,a20,2,163
1107,961,white,mate,nimzowitsch defense: mikenas variation,b00,4,95
974,1129,black,resign,queen's pawn game: chigorin variation,d00,3,37
1203,970,white,mate,center game #2,c21,3,101
998,937,black,outoftime,french defense: pelikan variation,c00,5,80
1016,1126,black,resign,van't kruijs opening,a00,1,78
1025,1153,draw,outoftime,french defense: mediterranean defense,c01,4,89
1047,1151,black,mate,queen's pawn game: chigorin variation,d02,4,42
998,1016,black,outoftime,ponziani opening: romanishin variation,c44,6,8
1127,1044,white,outoftime,king's pawn game: wayward queen attack,c20,3,101
1020,1200,white,outoftime,queen's pawn game: zukertort variation,d02,3,65
1069,1071,black,mate,queen's pawn game: symmetrical variation,d02,4,60
1071,1068,draw,draw,queen's pawn game: mason attack,d00,3,71
1115,1223,black,resign,queen's pawn game: chigorin variation,d01,4,44
1190,1213,black,resign,queen's pawn game: chigorin variation,d01,4,20
1337,1337,white,resign,king's knight opening,c40,3,41
1500,1500,black,resign,scandinavian defense,b01,2,40
1500,1571,white,resign,philidor defense: exchange variation #2,c41,7,27
1367,1866,black,resign,van't kruijs opening,a00,1,59
1590,1373,white,mate,owen defense,b00,2,19
1377,1667,black,mate,hungarian opening,a00,1,50
1558,1358,black,resign,ruy lopez: closed variations | rosen attack,c88,15,34
1476,1367,white,mate,owen defense,b00,2,15
1376,1469,black,resign,van't kruijs opening,a00,1,52
1460,1386,white,mate,owen defense,b00,2,65
1372,1408,white,resign,philidor defense #3,c41,5,67
1373,2148,black,resign,sicilian defense: french variation,b40,4,31
1500,1395,black,mate,french defense #2,c00,2,130
1382,1414,white,mate,french defense: exchange variation,c01,5,125
1320,1400,black,resign,french defense: knight variation,c00,3,76
1383,1330,white,resign,torre attack #2,a46,3,121
1383,1242,white,resign,queen's pawn game: zukertort variation,d02,3,53
1469,1357,black,outoftime,french defense: advance variation | paulsen attack,c02,9,116
959,1357,white,resign,creepy crawly formation: classical defense,a00,4,47
1357,959,white,resign,queen's pawn game: mason attack,d00,3,53
959,1357,black,mate,creepy crawly formation: classical defense,a00,4,76
1588,1691,draw,draw,italian game: giuoco pianissimo | normal,c50,8,110
1541,1586,white,mate,sicilian defense: accelerated dragon | modern variation,b34,9,67
1517,1320,white,resign,elephant gambit,c40,4,17
1569,1569,white,mate,nimzo-larsen attack: classical variation,a01,2,39
1563,1498,black,resign,french defense: tarrasch variation,c03,5,94
1903,1512,white,resign,nimzo-indian defense: ragozin variation,e20,8,37
1612,1450,white,mate,caro-kann defense: exchange variation,b13,5,37
1327,1450,white,resign,caro-kann defense: hillbilly attack,b00,3,34
1245,1450,white,outoftime,caro-kann defense: advance variation,b12,5,41
1921,1451,black,resign,latvian gambit,c40,4,30
1462,1464,white,resign,global opening,a00,3,51
1450,1486,white,mate,king's gambit accepted | bishop's gambit | lopez defense,c33,6,79
1439,1418,white,resign,king's gambit accepted | bishop's gambit,c33,5,83
1728,1500,black,resign,italian game: two knights defense,c55,6,14
1547,1563,white,resign,alekhine defense: scandinavian variation,b02,4,21
1863,1567,white,resign,alekhine defense,b02,2,47
1559,1423,white,resign,horwitz defense,a40,2,38
1570,1611,black,resign,modern defense: geller's system,b06,7,34
1562,1582,white,resign,alekhine defense,b03,6,39
1576,1386,white,resign,queen's pawn game: mason attack,d00,3,43
1353,1595,white,mate,caro-kann defense: accelerated panov attack,b10,3,41
1591,1326,white,resign,queen's pawn game: mason attack,d00,3,49
1560,1580,black,outoftime,alekhine defense: scandinavian variation,b02,4,38
1727,1574,black,outoftime,scandinavian defense: modern variation #2,b01,4,70
1579,1841,black,resign,indian game: east indian defense,e00,4,48
1877,1558,black,resign,french defense: steinitz variation #2,c11,11,50
1536,1962,white,resign,trompowsky attack,a45,3,57
1529,1763,draw,outoftime,queen's pawn game: mason attack,d00,3,148
1590,1515,black,mate,scandinavian defense: modern variation #2,b01,4,62
1653,1522,white,resign,dutch defense,a80,2,29
1675,1505,black,mate,scandinavian defense: panov transfer,b01,6,52
1547,1491,black,mate,scandinavian defense: panov transfer,b01,6,26
1507,1399,black,resign,englund gambit,a40,2,59
1641,1502,draw,draw,scandinavian defense,b01,2,2
1496,1703,draw,draw,london system,a48,5,195
1482,1484,black,resign,scandinavian defense: modern variation #2,b01,4,56
1486,1909,black,resign,modern defense,a40,2,40
1919,1488,white,mate,english opening: caro-kann defensive system,a11,2,31
1488,2192,black,resign,indian game,a45,2,60
1470,1684,white,resign,queen's pawn game: mason attack,d00,3,45
1465,1659,draw,draw,dutch defense: fianchetto attack,a81,3,63
1586,1473,white,resign,queen's pawn game: london system,d02,5,17
1548,1488,white,resign,alekhine defense,b03,6,34
1500,1501,black,mate,indian game,a45,2,36
1509,1487,black,mate,alekhine defense: modern variation | main line,b05,8,62
1356,1491,draw,draw,scandinavian defense,b01,2,46
1495,1771,black,resign,indian game,a45,2,34
1529,1639,white,resign,french defense: knight variation,c00,3,38
1631,1537,white,resign,philidor defense: hanham variation,c41,6,107
1546,1621,black,resign,sicilian defense #2,b54,6,42
1568,1636,white,resign,french defense: pelikan variation,c00,5,35
